"input_index","input_label","input_url","normalized_input_url","canonical_name","canonical_official_url","canonical_repository_url","existing_catalog_id","decision","resulting_catalog_id","duplicate_of_input_index","categories","license_model","license_spdx","status","needs_review","primary_evidence","notes"
"1","Shieldlist agent","https://git.lrob.net/Shieldlist/shieldlist-agent","https://git.lrob.net/Shieldlist/shieldlist-agent","Shieldlist agent","","https://git.lrob.net/Shieldlist/shieldlist-agent","","ADD","shieldlist-agent","","application-cloud-security;emerging-experimental","oss","AGPL-3.0-only","active","false","canonical repository;LICENSE","Recent functional agent with explicit host firewall behavior; conservatively experimental."
"2","Ventoy","https://www.ventoy.net/en/index.html","https://www.ventoy.net/","Ventoy","https://www.ventoy.net/","https://github.com/ventoy/Ventoy","","ADD","ventoy","","virtualization-bare-metal-homelab","oss","GPL-3.0-only","active","false","official site;canonical repository;LICENSE","Localized deep page normalized to the project root."
"3","Cursor Origin","https://cursor.com/fr/origin","https://cursor.com/origin","Cursor Origin","https://cursor.com/origin","","cursor","ADD","cursor-origin","","source-control-repository-management;emerging-experimental","commercial","","active","false","official Origin product page","Separate from the Cursor editor because it is an early-beta hosted Git forge and a distinct adoption decision; alias added for localized URL."
"4","Graft","https://graft.nanonets.ai/","https://trailhq.com/graft","Graft","https://trailhq.com/graft","https://github.com/trailhq/Graft","","ADD","graft","","developer-experience-local-environments;source-control-repository-management","oss","MIT","active","false","official redirect destination;canonical repository;LICENSE","Former NanoNets URL redirects to Trail; reviewed alias records the rename."
"5","Rclone","https://rclone.org/","https://rclone.org/","Rclone","https://rclone.org/","https://github.com/rclone/rclone","","ADD","rclone","","backup-disaster-recovery-resilience","oss","MIT","active","false","official site;canonical repository;COPYING","No existing canonical identity matched."
"6","Technitium DNS Server","https://technitium.com/dns/","https://technitium.com/dns/","Technitium DNS Server","https://technitium.com/dns/","https://github.com/TechnitiumSoftware/DnsServer","","ADD","technitium-dns-server","","virtualization-bare-metal-homelab","oss","GPL-3.0-only","active","false","official product page;canonical repository;LICENSE","Authoritative and recursive DNS product represented as one identity."
"7","CyberChef","https://gchq.github.io/CyberChef/","https://gchq.github.io/CyberChef/","CyberChef","https://gchq.github.io/CyberChef/","https://github.com/gchq/CyberChef","","ADD","cyberchef","","application-cloud-security","oss","Apache-2.0","active","false","official application;canonical repository;LICENSE","Defensive analysis context documented."
"8","Pocket ID","https://pocket-id.org/","https://pocket-id.org/","Pocket ID","https://pocket-id.org/","https://github.com/pocket-id/pocket-id","","ADD","pocket-id","","iam-secrets-certificates","oss","BSD-2-Clause","active","false","official site;canonical repository;LICENSE","Passkey-focused self-hosted OIDC provider."
"9","Clonezilla","https://clonezilla.org/downloads.php","https://clonezilla.org/","Clonezilla","https://clonezilla.org/","","","ADD","clonezilla","","backup-disaster-recovery-resilience","oss","GPL-2.0-only","active","false","official project root;official documentation;licence statement","Downloads page normalized to the durable project identity."
"10","AdGuard Home","https://github.com/AdguardTeam/Adguardhome","https://github.com/AdguardTeam/AdGuardHome","AdGuard Home","","https://github.com/AdguardTeam/AdGuardHome","","ADD","adguard-home","","virtualization-bare-metal-homelab;application-cloud-security","oss","GPL-3.0-only","active","false","canonical repository;LICENSE","Repository casing normalized."
"11","Scanopy","https://github.com/scanopy/scanopy?utm_source=chatgpt.com","https://github.com/scanopy/scanopy","Scanopy","https://scanopy.net/","https://github.com/scanopy/scanopy","","ADD","scanopy","","monitoring-metrics-logs-tracing","oss","AGPL-3.0-only","active","false","official site;canonical repository;LICENSE","Tracking query removed."
"12","Syncthing","https://syncthing.net/","https://syncthing.net/","Syncthing","https://syncthing.net/","https://github.com/syncthing/syncthing","","ADD","syncthing","","backup-disaster-recovery-resilience","oss","MPL-2.0","active","false","official site;canonical repository;LICENSE","Synchronization is explicitly distinguished from immutable backup."
"13","Tinyauth","https://tinyauth.app/","https://tinyauth.app/","Tinyauth","https://tinyauth.app/","https://github.com/tinyauthapp/tinyauth","","ADD","tinyauth","","iam-secrets-certificates","oss","AGPL-3.0-only","active","false","official site;canonical renamed repository;LICENSE","Current upstream owner used instead of the former repository owner."
"14","Rackula","https://www.racku.la/","https://www.racku.la/","Rackula","https://www.racku.la/","https://github.com/RackulaLives/Rackula","","ADD","rackula","","virtualization-bare-metal-homelab","oss","MIT","active","false","official application;canonical repository;LICENSE","Scoped as lightweight rack planning rather than full DCIM."
"15","blocky","https://0xerr0r.github.io/blocky/latest/","https://0xerr0r.github.io/blocky/latest/","blocky","https://0xerr0r.github.io/blocky/latest/","https://github.com/0xERR0R/blocky","","ADD","blocky","","virtualization-bare-metal-homelab;application-cloud-security","oss","Apache-2.0","active","false","official documentation;canonical repository;LICENSE","One DNS proxy identity across security and homelab categories."
"16","WinBoat","https://www.winboat.app/","https://www.winboat.app/","WinBoat","https://www.winboat.app/","https://github.com/winboat-org/winboat","","ADD","winboat","","developer-experience-local-environments;virtualization-bare-metal-homelab","oss","MIT","active","false","official site;canonical renamed repository;LICENSE","Current winboat-org upstream used."
"17","Webmin","https://webmin.com/","https://webmin.com/","Webmin","https://webmin.com/","https://github.com/webmin/webmin","","ADD","webmin","","configuration-management","oss","BSD-3-Clause","active","false","official site;canonical repository;LICENSE","Host administration UI distinguished from fleet desired-state tools."
"18","Athena","https://github.com/syedammarsuhail/athena","https://github.com/syedammarsuhail/athena","Athena","","https://github.com/syedammarsuhail/athena","","SKIP_OUT_OF_SCOPE","","","","oss","MIT","active","false","canonical repository README;LICENSE","Repository describes a ten-week educational AIOps build plan and reference stack rather than a maintained operational tool boundary."
"19","CruiseKube","https://cruisekube.com/","https://cruisekube.com/","CruiseKube","https://cruisekube.com/","https://github.com/truefoundry/CruiseKube","","ADD","cruisekube","","finops-sustainability;emerging-experimental","source-available","BUSL-1.1","active","false","official site;canonical repository;BUSL license","Young controller is included with emerging maturity and its time-delayed source-available licence modeled explicitly."
"20","KubeTable","https://kubetable.dev/","https://kubetable.dev/","KubeTable","https://kubetable.dev/","https://github.com/kubetable/kubetable","","ADD","kubetable","","developer-experience-local-environments;emerging-experimental","oss","Apache-2.0","active","false","official site;canonical repository;LICENSE","Recent local-first desktop project included conservatively as emerging."
"21","KubeElasti","https://kubeelasti.dev/","https://kubeelasti.dev/","KubeElasti","https://kubeelasti.dev/","https://github.com/KubeElasti/KubeElasti","","ADD","kubeelasti","","kubernetes-networking-storage-addons;finops-sustainability;emerging-experimental","oss","MIT","active","false","official documentation;canonical repository;LICENSE","Recent scale-to-zero controller included conservatively as emerging."
"22","ipman","https://dialohq.github.io/ipman/","https://dialohq.github.io/ipman/","ipman","https://dialohq.github.io/ipman/","https://github.com/dialohq/ipman","","ADD","ipman","","kubernetes-networking-storage-addons;emerging-experimental","oss","MIT","active","false","official documentation;canonical repository;LICENSE","Recent IPsec operator included conservatively as emerging."
"23","OpenDepot","https://tonedefdev.github.io/opendepot/","https://tonedefdev.github.io/opendepot/","OpenDepot","https://tonedefdev.github.io/opendepot/","https://github.com/tonedefdev/opendepot","","ADD","opendepot","","artifact-package-management;infrastructure-as-code;emerging-experimental","oss","Apache-2.0","active","false","official documentation;canonical repository;LICENSE","Recent Kubernetes-native IaC registry included conservatively as emerging."
"24","Klarity","https://github.com/selvarajmurugesan90/klarity","https://github.com/selvarajmurugesan90/klarity","Klarity","","https://github.com/selvarajmurugesan90/klarity","","ADD","klarity","","monitoring-metrics-logs-tracing;emerging-experimental","oss","Apache-2.0","active","false","canonical repository;LICENSE","Recent observability UI included as experimental despite a current tagged release."
"25","k8s-overcommit-operator","https://github.com/InditexTech/k8s-overcommit-operator","https://github.com/InditexTech/k8s-overcommit-operator","k8s-overcommit-operator","","https://github.com/InditexTech/k8s-overcommit-operator","","ADD","k8s-overcommit-operator","","finops-sustainability","oss","Apache-2.0","active","false","canonical repository;LICENSE;release evidence","Operational boundary is namespace request-overcommit policy."
"26","Kloak","https://getkloak.io/","https://getkloak.io/","Kloak","https://getkloak.io/","https://github.com/spinningfactory/kloak","","ADD","kloak","","application-cloud-security;emerging-experimental","oss","AGPL-3.0-only","active","false","official site;canonical repository;LICENSE","Defensive runtime secret isolation only; experimental kernel dependency documented."
"27","OSV-Scanner","https://google.github.io/osv-scanner/","https://google.github.io/osv-scanner/","OSV-Scanner","https://google.github.io/osv-scanner/","https://github.com/google/osv-scanner","","ADD","osv-scanner","","application-cloud-security;software-supply-chain-security","oss","Apache-2.0","active","false","official documentation;canonical repository;LICENSE","Distinct OSV-native scanner identity."
"28","Snyk Container","https://docs.snyk.io/scan-fix-and-prevent/scan-with-snyk/snyk-container","https://docs.snyk.io/scan-with-snyk/snyk-container","Snyk","https://snyk.io","https://github.com/snyk/cli","snyk","UPDATE_EXISTING","snyk","","application-cloud-security","commercial","","active","false","official feature documentation;canonical CLI repository;CLI LICENSE","Container scanning remains part of the existing commercial Snyk platform identity; Apache-2.0 applies to the CLI client and is not attributed to the platform as a whole."
