tool_id,canonical_yaml_file,affected_field,current_canonical_value,report_classification,http_status_or_network,network_observation,candidate_replacement_url,candidate_is_human_facing,candidate_independently_supported,official_evidence_available,evidence_still_required,risk_level,proposed_batch,expected_final_decision_types,regression_test_required
agones,data/tools/kubernetes-networking-storage-addons.yaml,official_url,https://agones.dev/site,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
azure-devops,data/tools/ci-build-testing.yaml,official_url,https://azure.microsoft.com/en-us/services/devops,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
bottlerocket,data/tools/virtualization-bare-metal-homelab.yaml,documentation_url,https://bottlerocket.dev/en/docs/,manual-verification-required,active,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
burp-suite,data/tools/application-cloud-security.yaml,official_url,https://portswigger.net/burp,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
cedar-policy,data/tools/application-cloud-security.yaml,official_url,https://cedarpolicy.com/en,manual-verification-required,active,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
certmate,data/tools/iam-secrets-certificates.yaml,repository_url,https://github.com/usual2970/certmate,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
coroot,data/tools/monitoring-metrics-logs-tracing.yaml,documentation_url,https://coroot.com/docs/,manual-verification-required,active,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
deeptutor,data/tools/documentation-learning-career.yaml,official_url,https://hkuds.github.io/DeepTutor,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
devops-projects,data/tools/documentation-learning-career.yaml,repository_url,https://github.com/ophircloud/DevOps-Projects,http-error,needs-review,HTTP 451: Unknown,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
etckeeper,data/tools/configuration-management.yaml,repository_url,https://github.com/etckeeper/etckeeper,manual-verification-required,needs-review,HTTP 404: Not Found,,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
exoway,data/tools/cloud-platforms-management.yaml,documentation_url,https://help.exoway.io/fr/,tls-failure,needs-review,SSLError: [SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1000),,false,false,false,official migration/deprecation notice; product/doc ownership confirmation; final canonical URL evidence,high,batch-a1-hard-url-failures,retain|replace|remove optional URL|remain inconclusive,true
