source_file,line,source_name,source_url,canonical_id,disposition,reason
devopstools_final.md,1032,Codecov,https://about.codecov.io/,codecov,kept,Canonical occurrence retained
devopstools_final.md,84,Gitea,https://about.gitea.com/,gitea,kept,Canonical occurrence retained
1_Foundational-Skills/README.md,6,Gitea,https://about.gitea.com/,gitea,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,86,GitLab,https://about.gitlab.com/,gitlab,kept,Canonical occurrence retained
1_Foundational-Skills/README.md,8,GitLab,https://about.gitlab.com/,gitlab,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,112,Academy JetBrains,https://academy.jetbrains.com/,academy-jetbrains,kept,Canonical occurrence retained
1_Foundational-Skills/README.md,33,Academy JetBrains,https://academy.jetbrains.com/,academy-jetbrains,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,432,Desktop Kubernetes,https://aceeric.github.io/desktop-kubernetes/,desktop-kubernetes,kept,Canonical occurrence retained
devopstools_final.md,529,Agones,https://agones.dev/site/,agones,kept,Canonical occurrence retained
devopstools_final.md,411,Aider,https://aider.chat/,aider,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,174,Aider,https://aider.chat/,aider,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,530,AI Gateway (Envoy),https://aigateway.envoyproxy.io/,ai-gateway-envoy,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,69,AI Gateway (Envoy),https://aigateway.envoyproxy.io/,ai-gateway-envoy,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,845,CAI (RobotSec),https://aliasrobotics.github.io/cai/,cai-robotsec,kept,Canonical occurrence retained
6_Security/README.md,11,CAI (RobotSec),https://aliasrobotics.github.io/cai/,cai-robotsec,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1124,Angular,https://angular.dev/,angular,kept,Canonical occurrence retained
7_Development-Collaboration/README.md,84,Angular,https://angular.dev/,angular,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,1093,Ansible Lint,https://ansible.readthedocs.io/projects/lint/,ansible-lint,kept,Canonical occurrence retained
7_Development-Collaboration/README.md,56,Ansible Lint,https://ansible.readthedocs.io/projects/lint/,ansible-lint,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,840,Apiiro,https://apiiro.com/,apiiro,kept,Canonical occurrence retained
devopstools_final.md,308,Appcircle,https://appcircle.io/,appcircle,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,4,Appcircle,https://appcircle.io/,appcircle,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,107,AppImage,https://appimage.org/,appimage,kept,Canonical occurrence retained
1_Foundational-Skills/README.md,28,AppImage,https://appimage.org/,appimage,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,483,kube-bench,https://aquasecurity.github.io/kube-bench/,kube-bench,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,36,kube-bench,https://aquasecurity.github.io/kube-bench/,kube-bench,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,484,kube-hunter,https://aquasecurity.github.io/kube-hunter/,kube-hunter,kept,Canonical occurrence retained
4_Kubernetes-Containers/README.md,37,kube-hunter,https://aquasecurity.github.io/kube-hunter/,kube-hunter,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,923,Tracee,https://aquasecurity.github.io/tracee/latest/,tracee,kept,Canonical occurrence retained
devopstools_final.md,633,Trivy,https://aquasecurity.github.io/trivy/,trivy,kept,Canonical occurrence retained
devopstools_final.md,918,Trivy,https://aquasecurity.github.io/trivy/,trivy,merged,Merged by normalized canonical URL; provenance preserved
4_Kubernetes-Containers/README.md,138,Trivy,https://aquasecurity.github.io/trivy/,trivy,merged,Merged by normalized canonical URL; provenance preserved
6_Security/README.md,54,Trivy,https://aquasecurity.github.io/trivy/,trivy,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,385,ArgoCD,https://argo-cd.readthedocs.io/,argocd,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,134,ArgoCD,https://argo-cd.readthedocs.io/,argocd,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,386,ArgoCD Agent,https://argocd-agent.readthedocs.io/latest/,argocd-agent,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,136,ArgoCD Agent,https://argocd-agent.readthedocs.io/latest/,argocd-agent,merged,Merged by normalized canonical URL; provenance preserved
devopstools_final.md,388,ArgoCD Image Updater,https://argocd-image-updater.readthedocs.io/en/stable/,argocd-image-updater,kept,Canonical occurrence retained
3_CI-CD-Automation/README.md,140,ArgoCD Image Updater,https://argocd-image-updater.readthedocs.io/en/stable/,argocd-image-updater,merged,Merged by normalized canonical URL; provenance preserved
