input_index,input_label,input_url,normalized_input_url,canonical_name,canonical_official_url,canonical_repository_url,existing_catalog_id,decision,resulting_catalog_id,duplicate_of_input_index,categories,license_model,license_spdx,status,needs_review,primary_evidence,notes
1,platformersdev/kubectl-x,https://github.com/platformersdev/kubectl-x,https://github.com/platformersdev/kubectl-x,kubectl-x,,https://github.com/platformersdev/kubectl-x,,ADD,kubectl-x,,kubernetes-distributions-operations,oss,MIT,active,false,https://github.com/platformersdev/kubectl-x;https://github.com/platformersdev/kubectl-x/blob/main/LICENSE;https://github.com/platformersdev/kubectl-x/blob/main/README.md;https://github.com/platformersdev/kubectl-x/commit/a8142d4acb834645246e34af99adf819e11c1a38,"Operational adoption: You need parallel multi-cluster queries with context-labelled table, JSON, or YAML output. Upstream commit observed 2026-05-01T20:05:16Z; archived=false."
2,Anubis,https://anubis.techaro.lol/?utm_source=everydev.ai,https://anubis.techaro.lol/,Anubis,https://anubis.techaro.lol/,https://github.com/TecharoHQ/anubis,,ADD,anubis,,application-cloud-security,oss,MIT,active,false,https://github.com/TecharoHQ/anubis;https://github.com/TecharoHQ/anubis/blob/main/LICENSE;https://anubis.techaro.lol/;https://github.com/TecharoHQ/anubis/blob/main/README.md;https://github.com/TecharoHQ/anubis/commit/0c5ef7776309295e8846f10e54b2daff5899e55b,Operational adoption: You operate public web services suffering expensive automated traffic and can deploy a challenge proxy. Upstream commit observed 2026-09-06T22:46:22Z; archived=false.
3,terminal-browser,https://terminal-browser.com/?utm_source=everydev.ai,https://terminal-browser.com/,terminal-browser,https://terminal-browser.com/,https://github.com/zenbu-labs/terminal-browser,,ADD,terminal-browser,,developer-experience-local-environments,oss,MIT,active,false,https://github.com/zenbu-labs/terminal-browser;https://github.com/zenbu-labs/terminal-browser/blob/main/LICENSE;https://terminal-browser.com/;https://github.com/zenbu-labs/terminal-browser/blob/main/README.md;https://github.com/zenbu-labs/terminal-browser/commit/56337421b85e1ec01f340373dde85c7e1862f2a4,"Operational adoption: You need to inspect development web services alongside terminal workflows, including remote SSH sessions. Upstream commit observed 2026-09-04T22:11:05Z; archived=false."
4,Azure Kubelogin,https://azure.github.io/kubelogin/,https://azure.github.io/kubelogin/,Azure kubelogin,https://azure.github.io/kubelogin/,https://github.com/Azure/kubelogin,,ADD,azure-kubelogin,,iam-secrets-certificates,oss,MIT,active,false,https://github.com/Azure/kubelogin;https://github.com/Azure/kubelogin/blob/main/LICENSE;https://azure.github.io/kubelogin/;https://github.com/Azure/kubelogin/commit/77788c56b649b05176e33eba134896c7f31fcebd,Distinct Azure/Entra exec plugin; not int128 OIDC login. Upstream commit observed 2026-09-01T18:04:55Z; archived=false.
5,int128/kubelogin,https://github.com/int128/kubelogin,https://github.com/int128/kubelogin,kubelogin (int128),,https://github.com/int128/kubelogin,,ADD,int128-kubelogin,,iam-secrets-certificates,oss,Apache-2.0,active,false,https://github.com/int128/kubelogin;https://github.com/int128/kubelogin/blob/master/LICENSE;https://github.com/int128/kubelogin/blob/master/README.md;https://github.com/int128/kubelogin/commit/f12c1c5d52fffe65039250305db925c75729409b,Distinct general OIDC exec plugin; upstream owner and token acquisition differ from Azure kubelogin. Upstream commit observed 2026-09-06T02:14:44Z; archived=false.
6,MobaXterm,https://mobaxterm.mobatek.net/,https://mobaxterm.mobatek.net/,MobaXterm,https://mobaxterm.mobatek.net/,,,ADD,mobaxterm,,foundations-linux-scripting,commercial,,active,false,https://mobaxterm.mobatek.net/,Operational adoption: You administer remote Unix and Windows systems from a Windows workstation and want integrated sessions and file transfer.
7,linux-dsoxlab-training,https://github.com/stephrobert/linux-dsoxlab-training,https://github.com/stephrobert/linux-dsoxlab-training,Linux dsoxlab training,,https://github.com/stephrobert/linux-dsoxlab-training,,ADD,linux-dsoxlab-training,,documentation-learning-career,documentation,CC-BY-4.0,active,false,https://github.com/stephrobert/linux-dsoxlab-training;https://github.com/stephrobert/linux-dsoxlab-training/blob/main/LICENSE;https://github.com/stephrobert/linux-dsoxlab-training/blob/main/README.md;https://github.com/stephrobert/linux-dsoxlab-training/commit/f0a5ce0f907b20f4f3e26d64b9cee18a43f875d3,Content catalogue and separate dsoxlab runner are not merged. Content licence is CC-BY-4.0. Upstream commit observed 2026-08-24T21:09:13Z; archived=false.
8,AlmaLinux,https://almalinux.org/,https://almalinux.org/,AlmaLinux OS,https://almalinux.org/,,,ADD,almalinux,,foundations-linux-scripting,oss,,active,false,https://almalinux.org/;https://wiki.almalinux.org/,"Enterprise server/cloud distribution; packages have multiple licences, so no whole-distribution SPDX is asserted. Independent SPDX review: whole operating-system distribution contains packages under multiple licences; no single whole-product SPDX is asserted."
9,Zorin,https://zorin.com/,https://zorin.com/,Zorin,,,,SKIP_OUT_OF_SCOPE,,,,,,,,https://zorin.com/,Desktop-oriented Zorin OS editions and a separate Grid product do not establish a distinct infrastructure operating requirement for this submission; no Grid feature imported as an OS record.
10,Mainstream OS,https://mainstreamos.org/,https://mainstreamos.org/,Mainstream OS,,,,SKIP_OUT_OF_SCOPE,,,,,,,,https://mainstreamos.org/,Desktop-focused Mainstream OS site and linked Hyprland customization repository do not establish a sufficiently documented server or fleet operating decision.
